LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,road_number
LRP267b,263.744,"Side Road, Left",Road to Boalkhali (Z1059),22.295333,91.9803049,N1
LRP268,264.01,Km Post,Km post missing,22.2934997,91.9816382,N1
LRP268a,264.07,"Side Road, Left",Road to Haidgaon (Z1057),22.2933608,91.9821104,N1
LRP268b,264.216,Culvert,Box culvert,22.292083,91.9822493,N1
LRP268c,264.237,"Side Road, Right",Road to Anowara (R170),22.291833,91.9823327,N1
LRP269,265.01,Km Post,Km post missing,22.2878052,91.9883886,N1
LRP269a,265.313,Bridge,Bridge start,22.286583,91.9911108,N1
LRP269b,265.385,Bridge,Bridge end,22.2863052,91.991583,N1
LRP269c,265.41,"Side Road, Right",Road to Chandnaisa(Z1039),22.2862497,91.9916941,N1
LRP270,266.01,Km Post,Km post missing,22.2836386,91.9967497,N1
LRP270a,266.28,Culvert,Box Culvert,22.2820549,91.9986663,N1
LRP271,267.205,Km Post,Info.Missing,22.2761938,92.0043889,N1
LRP271a,267.419,Culvert,Box culvert,22.2745827,92.0053056,N1
LRP271b,267.689,Culvert,Box culvert,22.2722493,92.0055278,N1
LRP272,268.205,Km Post,Km post missing,22.2676104,92.0058056,N1
LRP272a,268.831,Bridge,Bridge start,22.2622222,92.0070556,N1
LRP272b,268.845,Bridge,Bridge end,22.2628611,92.0070278,N1
LRP272c,269.079,Culvert,Box Culvert,22.2600833,92.0075556,N1
LRP273,269.205,Km Post,Km post missing,22.259,92.0081389,N1
LRP273a,269.608,Culvert,Box culvert,22.2557222,92.0096111,N1
LRP273b,269.876,Culvert,Box culvert,22.2538611,92.01125,N1
LRP274,270.205,Km Post,Km post missing,22.2517222,92.0133333,N1
LRP274a,270.548,Culvert,Box culvert,22.249333,92.0152778,N1
LRP275,271.205,Km Post,Km post missing,22.2449997,92.019166,N1
LRP275a,271.807,Culvert,Box culvert,22.2410552,92.0215271,N1
LRP275b,272.286,Culvert,Box culvert,22.2371941,92.0230549,N1
LRP276,272.425,Km Post,Info.Missing,22.236083,92.0234716,N1
LRP276a,272.81,Culvert,Box culvert,22.2327771,92.0245549,N1
LRP276b,272.989,Bridge,Bridge start,22.2316938,92.0248882,N1
LRP276c,273.003,Bridge,Bridge end,22.2315827,92.0249438,N1
LRP277,273.219,Km Post,Info.Missing,22.227916,92.0258882,N1
LRP277a,273.231,Bridge,Bridge start,22.2278882,92.025916,N1
LRP277b,273.243,Bridge,Bridge end,22.2277771,92.0259438,N1
LRP277c,273.68,Culvert,Box culvert,22.2240271,92.0270827,N1
LRP278,274.219,Km Post,Km post missing,22.2192493,92.0278882,N1
LRP278a,274.467,Culvert,Box culvert,22.2170549,92.0281382,N1
LRP278b,274.982,"Side Road, Left",Road To Dhupchheri (Z1026),22.2131389,92.0304993,N1
LRP279,275.219,Km Post,Km post missing,22.2116111,92.0318049,N1
LRP279a,275.761,Bridge,Bridge start,22.2084444,92.0356663,N1
LRP279b,275.816,Bridge,Bridge end,22.2080278,92.0357774,N1
LRP279c,276.102,Bridge,Bridge start,22.2059444,92.0370274,N1
LRP279d,276.114,Bridge,Bridge end,22.2058889,92.0371386,N1
LRP280,276.219,Km Post,Km post missing,22.2054167,92.0380274,N1
LRP281,277.313,Km Post,Info.Missing,22.1977774,92.0433886,N1
LRP281a,278.013,"Side Road, Right",Road to Barma (Z1036),22.1917219,92.0453608,N1
LRP282,278.326,Km Post,Info.Missing,22.1897497,92.046583,N1
LRP283,279.339,Km Post,Info.Missing,22.1822771,92.0513889,N1
LRP283a,280.16,Culvert,Box culvert,22.1750827,92.0528611,N1
LRP284,280.339,Km Post,Km post missing,22.1735827,92.0534167,N1
LRP285,281.339,Km Post,Km post missing,22.1652222,92.0548889,N1
LRP286,282.339,Km Post,Km post missing,22.1629722,92.0641944,N1
LRP286a,282.854,Bridge,Bridge start,22.1596667,92.0674716,N1
LRP286b,283.071,Bridge,Bridge end,22.1580556,92.0686104,N1
LRP287,283.339,Km Post,Km post missing,22.156,92.0701104,N1
LRP287a,284.003,Bridge,Bridge start,22.1509722,92.0696938,N1
LRP287b,284.012,Bridge,Bridge end,22.1508889,92.069666,N1
LRP288,284.218,Km Post,"Cox,s Bazar 111 km,Kasherhat 5 km",22.1491386,92.0696104,N1
LRP289,285.169,Km Post,Keranirhat 4 km,22.1406663,92.0697771,N1
LRP289a,285.472,Culvert,Box Culvert,22.1379163,92.0698882,N1
LRP289b,285.973,Culvert,Box Culvert,22.1334441,92.0700827,N1
LRP290,286.134,Km Post,"Cox,s Bazar 109 km",22.1320549,92.0701938,N1
LRP290a,286.253,Bridge,Bridge start,22.1308049,92.070416,N1
LRP290b,286.314,Bridge,Bridge end,22.1304716,92.0704993,N1
LRP290c,286.538,Bridge,Bridge start,22.1285271,92.0708604,N1
LRP290d,286.569,Bridge,Bridge end,22.1282771,92.070916,N1
LRP291,287.054,Km Post,Info.Missing,22.1240271,92.0715827,N1
LRP291a,287.064,Culvert,Box culvert,22.123666,92.0716382,N1
LRP291b,287.453,Culvert,Box culvert,22.1208049,92.0719438,N1
LRP292,288.054,Km Post,Km post missing,22.1151944,92.072416,N1
LRP292a,288.336,Culvert,Box culvert,22.1133056,92.0726938,N1
LRP293,289.054,Km Post,Km post missing,22.1062222,92.0738049,N1
LRP293a,289.612,"Side Road, Left",Road to Bandarban(N108),22.1021667,92.0740549,N1
LRP293b,289.724,Culvert,Box culvert,22.0993052,92.0743604,N1
LRP293c,289.974,"Side Road, Right",Road to Satkaria (Z1019),22.0977497,92.0750271,N1
LRP294,290.004,Km Post,Km post missing,22.097583,92.0752216,N1
LRP294a,290.616,Culvert,Box culvert,22.0942219,92.0798604,N1
LRP295,290.838,Km Post,"Cox,s Bazar 104 km",22.092833,92.0812493,N1
LRP296,291.794,Km Post,"Cox,s Bazar 103 km,Pasea 5 km",22.0876941,92.088583,N1
LRP296a,292.34,Culvert,Box culvert,22.0844441,92.0924997,N1
LRP297,292.758,Km Post,"Cox,s Bazar 102 km,Pasha 3 km",22.0826104,92.0958886,N1
LRP297a,293.058,Culvert,Box culvert,22.081166,92.0982774,N1
LRP298,293.758,Km Post,Km post missing,22.0752216,92.1001944,N1
LRP298a,294.462,Bridge,Bridge start,22.0699438,92.1038333,N1
LRP298b,294.495,Bridge,Bridge end,22.0698049,92.104,N1
LRP299,294.672,Km Post,"Cox,s Bazar 100 km,Pasra 2 km",22.0686938,92.10525,N1
LRP299a,295.238,Bridge,Bridge start,22.0641667,92.107,N1
LRP299b,295.283,Bridge,Bridge end,22.0638611,92.1070833,N1
LRP299c,295.663,Culvert,Box culvert,22.0605556,92.1078056,N1
LRP300,295.672,Km Post,Km post missing,22.0604722,92.1078611,N1
LRP300a,296.095,Culvert,Box culvert,22.0568611,92.1090833,N1
LRP300b,296.61,Culvert,Box culvert,22.0522778,92.1091111,N1
LRP301,296.672,Km Post,Km post missing,22.0516944,92.1090278,N1
LRP301a,297.002,Culvert,Box culvert,22.0486386,92.1082222,N1
LRP301b,297.441,"Side Road, Left",Road to Tonkabati (Z1013),22.0449719,92.1078333,N1
LRP301c,297.536,Culvert,Box culvert,22.0443052,92.1073056,N1
LRP302,297.672,Km Post,Km post missing,22.0434441,92.1063056,N1
LRP302a,298.367,Culvert,Box culvert,22.0379163,92.104,N1
LRP303,298.464,Km Post,"Cox.s Bazar 96 km,Lohaona 3 km",22.037083,92.1039722,N1
LRP303a,299.031,Culvert,Box culvert,22.0320827,92.1041667,N1
LRP303b,299.409,Bridge,Bridge start,22.028916,92.1035556,N1
LRP304,299.464,Km Post,Km post missing,22.0284438,92.1032778,N1
LRP304a,299.483,Bridge,Bridge end,22.0283327,92.1031944,N1
LRP305,300.382,Km Post,"Cox,s Bazar 94 km,Lohaona 1 km",22.020666,92.1015556,N1
LRP305a,300.396,Culvert,Box culvert,22.0205549,92.1015,N1
LRP306,301.319,Km Post,"Cox,s Bazar 93 km,Lohagora 6 km",22.0153056,92.094833,N1
LRP306a,302.249,Culvert,Box culvert,22.0077222,92.0927497,N1
LRP307,302.298,Km Post,"Cox,s Bazar 92 km,Lohagra 0 km",22.0074167,92.0924997,N1
LRP307a,302.763,Culvert,Box culvert,22.0039167,92.0904163,N1
LRP307b,303.303,Culvert,Box culvert,21.9999441,92.0880274,N1
LRP308,303.319,Km Post,"Cox,s Bazar 87 km",21.999833,92.0879997,N1
LRP308a,303.866,Culvert,Box culvert,21.9951108,92.0873608,N1
LRP308b,303.883,Culvert,Box culvert,21.9950552,92.0872774,N1
LRP308c,304.317,Bridge,Bridge start,21.9913886,92.086083,N1
LRP308d,304.377,Bridge,Bridge end,21.9908886,92.0859163,N1
LRP309,304.396,Km Post,"Cox,s Bazar 86 km,Chokaria 28 km",21.9907219,92.0858608,N1
LRP309a,304.556,Culvert,Box culvert,21.9893886,92.085333,N1
LRP309b,304.962,Bridge,Bridge start,21.9862219,92.0835274,N1
LRP309c,304.986,Bridge,Bridge end,21.9860552,92.0834441,N1
LRP310,305.375,Km Post,"Cox,s Bazar 87 km,Chokaria 27 km",21.9829716,92.0817771,N1
LRP310a,305.64,Bridge,Bridge start,21.9811104,92.0800271,N1
LRP310b,305.665,Bridge,Bridge end,21.9810549,92.0799438,N1
LRP310c,305.919,Culvert,Box culvert,21.9798882,92.0778327,N1
LRP310d,306.261,Culvert,Box culvert,21.9789716,92.0747493,N1
LRP311,306.394,Km Post,"Cox,s Bazar 88 km,Chowria 27 km",21.9781104,92.0739993,N1
LRP312,307.411,Km Post,"Cox,s Bazar 83 km,Chokaria 25 km",21.9729438,92.0670827,N1
LRP312a,307.582,"Side Road, Right",Road to Banskhali (R171),21.9720827,92.0657222,N1
LRP312b,308.146,Culvert,Box culvert,21.967666,92.0635,N1
LRP313,308.411,Km Post,Km post missing,21.9654167,92.0625556,N1
LRP313a,308.666,Bridge,Bridge start,21.9620278,92.0633611,N1
LRP313b,308.687,Bridge,Bridge end,21.9618611,92.0634444,N1
LRP313c,309.059,Culvert,Box culvert,21.9590833,92.0653889,N1
LRP314,309.411,Km Post,Km post missing,21.9578333,92.0665833,N1
LRP314a,309.496,Culvert,Box culvert,21.9569167,92.0673327,N1
LRP314b,310.017,Bridge,Bridge start,21.9516111,92.0678604,N1
LRP314c,310.038,Bridge,Bridge end,21.9514444,92.0678604,N1
LRP315,310.341,Km Post,Info.Missing,21.9489441,92.0675271,N1
LRP315a,310.802,Culvert,Box culvert,21.9446663,92.0668049,N1
LRP316,311.341,Km Post,Km post missing,21.940583,92.0643889,N1
LRP316a,311.956,Culvert,Box culvert,21.9354441,92.0623056,N1
LRP316b,312.209,Culvert,Box culvert,21.9333608,92.0614167,N1
LRP317,312.366,Km Post,"Cox,s Bazar 78 km",21.9322216,92.06075,N1
LRP317a,312.444,Culvert,Box culvert,21.931666,92.0603611,N1
LRP317b,312.708,Culvert,Box culvert,21.9296104,92.0592778,N1
LRP318,313.381,Km Post,"Cox,s Bazar 77 km/Start of Cox's Bazar Road Division.",21.9235827,92.0585,N1
LRP318,313.381,Km Post,"Cox,s Bazar 77 km/Start of Cox's Bazar Road Division.",21.9235827,92.0585,N1
LRP318a,313.966,Culvert,Box culvert,21.9177216,92.0597778,N1
LRP318b,314.269,Culvert,Box culvert,21.9160833,92.0601389,N1
LRP319,314.416,Km Post,"Cox,s Bazar 76 km",21.9148333,92.0604722,N1
LRP319a,314.639,Culvert,Box culvert,21.9128611,92.0606667,N1
LRP319b,315.15,Culvert,Box culvert,21.9083889,92.0605278,N1
LRP320,315.42,Km Post,"Cox,s Bazar 75 km",21.9059444,92.0609167,N1
LRP320a,315.728,"Side Road, Left",Road to Lama(Z1007),21.9031667,92.0611667,N1
LRP321,316.293,Km Post,"Cox,s Bazar 74 km",21.8969997,92.0612222,N1
LRP321a,316.356,"Side Road, Right",Road to Toitong (Z1124),21.8464441,92.0623056,N1
LRP321b,317.017,Culvert,Box culvert,21.8908886,92.0596667,N1
LRP322,317.299,Km Post,"Cox,s Bazar 73 km",21.8883886,92.0600833,N1
LRP322a,318.132,Culvert,Box culvert,21.8810271,92.0589722,N1
LRP323,318.311,Km Post,Cox's Bazar 72 km,21.879416,92.0590833,N1
LRP323a,318.819,Culvert,Box culvert,22.874916,92.0591111,N1
LRP324,319.32,Km Post,Info.Missing,22.8704993,92.0591389,N1
LRP324a,320.227,Culvert,Box culvert,21.8625,92.0595,N1
LRP325,320.32,Km Post,Km post missing,21.8616389,92.0596111,N1
LRP325a,320.542,Bridge,Bridge start,21.8597222,92.0602778,N1
LRP325b,320.601,Bridge,Bridge end,21.8592222,92.0604444,N1
LRP326,321.325,Km Post,"Cox,s Bazar 69 km",21.85275,92.0609722,N1
LRP326a,321.346,Culvert,Box culvert,21.8526111,92.0609722,N1
LRP326b,321.575,Culvert,Box culvert,21.8505,92.0609444,N1
LRP327,322.34,Km Post,"Cox,s Bazar 68 km",21.8441386,92.0628056,N1
LRP327a,322.553,Culvert,Box culvert,21.842583,92.0638611,N1
LRP327b,322.875,Culvert,Box culvert,21.8399719,92.0651389,N1
LRP328,323.357,Km Post,"Cox,s Bazar 67 km",21.8363052,92.067416,N1
LRP328a,323.671,Culvert,Box culvert,21.8336663,92.0684438,N1
LRP328b,323.842,"Side Road, Right",Road to Paharchaanda(Z1125),21.8322216,92.0689993,N1
LRP329,324.324,Km Post,Cox's Bazar 66 km,21.8280827,92.0712771,N1
LRP329a,324.618,Bridge,Bridge start,21.8256938,92.0723882,N1
LRP329b,324.666,Bridge,Bridge end,21.8252771,92.0725549,N1
LRP329c,325.183,Culvert,Box culvert,21.8208882,92.0741104,N1
LRP330,325.332,Km Post,Cox's Bazar 65km,21.8195271,92.0741382,N1
LRP330a,325.513,Culvert,Box culvert,21.8179716,92.073916,N1
LRP331,326.344,Km Post,Cox.s Bazar 64 km,21.8119444,92.0776382,N1
LRP331a,327.188,"Side Road, Right",Road to Paharchanda(Z1002),21.8045278,92.077166,N1
LRP331b,327.344,Bridge,Bridge start,21.8031389,92.0772493,N1
LRP331c,327.359,Bridge,Bridge end,21.8030278,92.0772771,N1
LRP332,327.369,Km Post,"Cox,s Bazar 63 km",22.8029167,92.0772771,N1
LRP333,328.362,Km Post,"Cox,s Bazar 62 km",21.7941941,92.0783882,N1
LRP333a,329.137,Culvert,Box culvert,21.7873886,92.0788882,N1
LRP333b,329.237,Culvert,Box culvert,21.7864997,92.0790271,N1
LRP334,329.375,Km Post,"Cox,s Bazar 61 km",21.7853052,92.079166,N1
LRP334a,329.555,Culvert,Box culvert,21.7836941,92.0792771,N1
LRP335,330.374,Km Post,"Cox,s Bazar 60 km",21.7782493,92.0840552,N1
LRP335a,330.454,Culvert,Box culvert,21.7776382,92.0843886,N1
LRP335b,330.679,Culvert,Box culvert,21.7758049,92.0851108,N1
LRP335c,330.874,Cross Road,Intersection with Z1126,21.7737216,92.0840552,N1
LRP335d,331.009,Culvert,Box culvert,21.7732771,92.0837219,N1
LRP336,331.302,Km Post,"Cox,s Bazar 59 km",21.7713049,92.0818327,N1
LRP336a,331.326,Bridge,Bridge start,21.7711938,92.0816382,N1
LRP336b,331.637,Bridge,Bridge end,21.7693327,92.079416,N1
LRP336c,332.066,"Side Road, Right",Road to Tuabazar (Z1127),21.7664722,92.0767771,N1
LRP337,332.302,Km Post,Km post missing,21.7646389,92.075916,N1
LRP337a,332.877,"Side Road, Right",Road to Badarkhali (R172),21.7596389,92.0764993,N1
LRP338,333.43,Km Post,"Cox,s Bazar 57 km",21.7546944,92.0770271,N1
LRP339,334.432,Km Post,"Cox,s Bazar 56 km",21.7466386,92.080916,N1
LRP339a,335.297,Culvert,Box culvert,21.7392497,92.0828604,N1
LRP340,335.438,Km Post,Cox's Bazar 55 km,21.738083,92.0834163,N1
LRP340a,335.489,Culvert,Box culvert,21.7376386,92.0834719,N1
LRP340b,336.169,Culvert,Box culvert,21.7315827,92.0838052,N1
LRP340c,336.35,Bridge,Bridge start,21.7299993,92.083833,N1
LRP340d,336.389,Bridge,Bridge end,21.7296382,92.083833,N1
LRP341,336.458,Km Post,"Cox,s Bazar 54 km",21.7290271,92.0838608,N1
LRP341a,337.147,Culvert,Box culvert,21.7229438,92.0834719,N1
LRP341b,337.31,"Side Road, Left",Road to Alikadam(Z1005),21.7215549,92.0830827,N1
LRP342,337.458,Km Post,Cox's Bazar 53km,21.7204716,92.0822493,N1
LRP342a,337.878,Culvert,Pipe Culvert,21.7169438,92.0824993,N1
LRP343,338.491,Km Post,"Cox,s Bazar 52 km",21.7120833,92.0821104,N1
LRP343a,339.018,Culvert,Box culvert,21.7080278,92.0800549,N1
LRP344,339.507,Km Post,"Cox,s Bazar 51 km",21.7040556,92.0788604,N1
LRP344a,339.817,Culvert,Box culvert,21.7013611,92.0783882,N1
LRP345,340.515,Km Post,Cox's Bazar 50km,21.6957497,92.0805827,N1
LRP346,341.527,Km Post,Cox's Bazar 49km,21.6868608,92.0800827,N1
LRP347,342.527,Km Post,Cox's Bazar 48 km,21.678416,92.0770827,N1
LRP347a,342.944,Bridge,Bridge start,21.6747493,92.0766104,N1
LRP347b,343.006,Bridge,Bridge end,21.6742216,92.0765549,N1
LRP347c,343.429,Culvert,Box culvert,21.6704438,92.0762771,N1
LRP348,343.463,Km Post,"Cox,s Bazar 47 km",21.6695549,92.0760549,N1
LRP348a,343.559,"Side Road, Left",Road to Garzania (Z1130),21.6688327,92.0759438,N1
LRP348b,344.325,Culvert,Box culvert,21.6618889,92.074916,N1
LRP349,344.468,Km Post,"Cox,s Bazar 46 km",21.6606111,92.0750827,N1
LRP349a,344.644,Bridge,Bridge start,21.6590556,92.0751382,N1
LRP349b,344.7,Bridge,Bridge end,21.653,92.0751382,N1
LRP350,345.484,Km Post,"Cox,s Bazar 45 km",21.6518056,92.0737771,N1
LRP350a,345.721,Bridge,Bridge start,21.6497219,92.0733049,N1
LRP350b,345.783,Bridge,Bridge end,21.6491941,92.0733049,N1
LRP350c,345.801,Bridge,Box culvert,21.649083,92.0733049,N1
LRP350d,346.052,Culvert,Box culvert,21.6468052,92.0733604,N1
LRP351,346.499,Km Post,"Cox,s Bazar 44 km",21.6428608,92.0732216,N1
LRP352,347.517,Km Post,"Cox,s Bazar 43 km",21.634833,92.0770271,N1
LRP353,348.545,Km Post,"Cox,s Bazar 42 km",21.6259716,92.0773882,N1
LRP353a,349.279,Culvert,Box culvert,21.6213604,92.0724438,N1
LRP354,349.545,Km Post,Cox's Bazar 41km,21.6197771,92.0705271,N1
LRP354a,349.944,Bridge,Bridge start,21.617166,92.0679993,N1
LRP354b,349.995,Bridge,Bridge end,21.6167771,92.0678049,N1
LRP354c,350.054,"Side Road, Right","Z1131, Kutakhali-Maheshkhali",21.6150556,92.0667771,N1
LRP355,350.169,Km Post,"Cox,s Bazar 40 km",21.61225,92.0652222,N1
LRP355a,350.309,Culvert,Box culvert,21.6098333,92.0638056,N1
LRP355b,350.489,Culvert,Box culvert,21.6073056,92.0624167,N1
LRP356,351.286,Km Post,"Cox,s Bazar 39 km",21.6039167,92.0619444,N1
LRP356a,351.343,Culvert,Box culvert,21.6016389,92.0618889,N1
LRP356b,351.684,Culvert,Box culvert,21.5977219,92.0617778,N1
LRP357,352.286,Km Post,Cox's Bazar 38km,21.5951108,92.0611944,N1
LRP357a,352.368,Culvert,Box culvert,21.5926108,92.0612778,N1
LRP357b,352.694,Culvert,Box culvert,21.588583,92.0633056,N1
LRP358,353.198,Km Post,"Cox,s Bazar 37 km",21.5875274,92.0650278,N1
LRP358a,353.298,Culvert,Box culvert,21.5861941,92.0650278,N1
LRP358b,353.466,Culvert,Box culvert,21.584833,92.0652222,N1
LRP359,354.197,Km Post,Cox's Bazar 36 km,21.5791938,92.0668049,N1
LRP359a,354.326,Culvert,Box culvert,21.5769993,92.0697216,N1
LRP360,355.167,Km Post,"Cox,s Bazar 35 km",21.5717216,92.0718049,N1
LRP360a,355.861,Culvert,Box Culvert,21.564,92.0702493,N1
LRP361,356.187,Km Post,"Cox,s Bazar 34 km",21.5629444,92.0700271,N1
LRP361a,356.322,Culvert,Box Culvert,21.5618056,92.0696382,N1
LRP361b,356.443,Culvert,Box Culvert,21.5608333,92.0692771,N1
LRP362,357.189,Km Post,"Cos,x Bazar 33 km",21.5555,92.0679716,N1
LRP362a,357.385,Bridge,Bridge start,21.5553056,92.067916,N1
LRP362b,357.437,Bridge,Bridge end,21.5548889,92.0678049,N1
LRP362c,357.86,Bridge,Bridge start,21.5484719,92.0670827,N1
LRP362d,357.906,Bridge,Bridge end,21.548083,92.0670271,N1
LRP363,358.089,Km Post,"Cox,s Bazar 32 km",21.546583,92.0668327,N1
LRP364,358.976,Km Post,Cox's Bazar 31km,21.538333,92.0639722,N1
LRP365,359.992,Km Post,Cox.s Bazar 30 km,21.5294993,92.0650278,N1
LRP365a,360.025,Culvert,Box culvert,21.5283049,92.0650833,N1
LRP365b,360.237,Culvert,Box culvert,21.5264716,92.0651944,N1
LRP365c,360.581,Bridge,Bridge start,21.5234716,92.0656111,N1
LRP365d,360.601,Bridge,Bridge end,21.5233049,92.0656389,N1
LRP365e,360.74,Culvert,Box culvert,21.5220827,92.0658611,N1
LRP366,360.902,Km Post,"Cox,s Bazar 29 km",21.520666,92.0661667,N1
LRP366a,361.457,Culvert,Box culvert,21.5161111,92.068166,N1
LRP366b,361.881,Culvert,Box culvert,21.5126944,92.0698604,N1
LRP367,361.908,Km Post,Cox.s Bazar 28 km,21.5125556,92.0699438,N1
LRP367a,362.42,Culvert,Box culvert,21.5083889,92.0717493,N1
LRP367b,362.624,Culvert,Box culvert,21.5069722,92.072916,N1
LRP368,362.908,Km Post,Cox's Bazar 27km,21.505,92.0745549,N1
LRP368a,363.819,Culvert,Box culvert,21.4974719,92.0765549,N1
LRP369,363.908,Km Post,Cox's Bazar 26km,21.4968608,92.0769438,N1
LRP369a,363.956,Culvert,Box culvert,21.4964441,92.077166,N1
LRP370,364.861,Km Post,"Cox,s Bazar 25 km",21.4901941,92.0818049,N1
LRP371,365.847,Km Post,"Cox,s Bazar 24 km",21.4870274,92.0898052,N1
LRP371a,366.121,Culvert,Box culvert,21.4851386,92.091333,N1
LRP372,366.821,Km Post,Cox.s Bazar 23 km,21.4793604,92.0938886,N1
LRP372a,367.179,Culvert,Box culvert,21.4767771,92.0957497,N1
LRP372b,367.429,Culvert,Box culvert,21.4750549,92.0971663,N1
LRP373,367.951,Km Post,"Cox,s Bazar 22 km",21.4713604,92.0997497,N1
LRP373a,367.972,Bridge,Bridge start,21.4712216,92.0998886,N1
LRP373b,368.031,Bridge,Bridge end,21.4708049,92.1002222,N1
LRP373c,368.565,Culvert,Box culvert,21.4667216,92.1025,N1
LRP374,368.932,Km Post,"Cox,s Bazar 21 km",21.4635833,92.1029167,N1
LRP375,369.901,Km Post,"Cox,s Bazar 20 km",21.4564722,92.1038056,N1
LRP375a,370.281,Culvert,Box culvert,21.4545,92.10075,N1
LRP375b,370.703,Culvert,Box culvert,21.4512778,92.0994441,N1
LRP376,370.925,Km Post,"Cox,s Bazar 19 km",21.4496108,92.0994997,N1
LRP376a,370.982,"Side Road, Left","Z1001, Road to Naikkongchhari",21.4494719,92.0995274,N1
LRP376b,371.58,Culvert,Box culvert,21.443833,92.1014167,N1
LRP376c,371.804,Bridge,Bridge start,21.4421663,92.1008611,N1
LRP376d,371.86,Bridge,Bridge end,21.4417497,92.1006667,N1
LRP377,371.922,Km Post,"Cox,s Bazar 18 km",21.4413608,92.1003611,N1
LRP377a,372.389,Culvert,Box culvert,21.4375552,92.0984997,N1
LRP377b,372.733,Culvert,Box culvert,21.434583,92.0973886,N1
LRP378,372.882,Km Post,"Cox,s Bazar 17 km",21.4334441,92.0969997,N1
LRP378a,373.167,Culvert,Box culvert,21.4310271,92.0961941,N1
LRP378b,373.396,Culvert,Box culvert,21.4290271,92.0954997,N1
LRP378c,373.475,"Side Road, Left",Ramu old Section (N109),21.4284993,92.0951941,N1
LRP378d,373.588,Culvert,Box culvert,21.4283604,92.0941663,N1
LRP379,373.872,Km Post,"Cox,s Bazar 16 km",21.4281104,92.0914719,N1
LRP379a,374.063,Bridge,Bridge start,21.427916,92.0896108,N1
LRP379b,374.088,Bridge,Bridge end,21.4278882,92.0893886,N1
LRP379c,374.649,Culvert,Box culvert,21.4271104,92.084083,N1
LRP380,374.856,Km Post,"Cox,s Bazar 15 km",21.4269716,92.0821104,N1
LRP380a,375.032,Culvert,Box culvert,21.4267771,92.0804716,N1
LRP380b,375.416,Culvert,Box culvert,21.4264716,92.0767771,N1
LRP381,375.82,Km Post,"Cox,s Bazar 14 km",21.4267216,92.0730827,N1
LRP381a,376.081,Culvert,Box culvert,21.427416,92.0707216,N1
LRP382,376.82,Km Post,Cox's Bazar 13km,21.4276938,92.0643611,N1
LRP382a,376.951,Culvert,Box culvert,21.4270827,92.0632778,N1
LRP382b,377.214,Culvert,Box culvert,21.4273327,92.0608333,N1
LRP382c,377.551,Culvert,Box culvert,21.4278882,92.0576667,N1
LRP382d,377.789,Culvert,Box culvert,21.4280549,92.0554167,N1
LRP383,377.818,Km Post,"Cox,s Bazar 12 km",21.4280827,92.0551389,N1
LRP383a,378.05,Culvert,Box culvert,21.4280549,92.0529444,N1
LRP383b,378.513,Bridge,Bridge start,21.4274993,92.0484441,N1
LRP383c,378.531,Bridge,Bridge end,21.4275271,92.0483886,N1
LRP384,378.803,Km Post,"Cox,s Bazar 11 km",21.4287771,92.0461941,N1
LRP384a,379.037,Culvert,Box culvert,21.4295549,92.044083,N1
LRP384b,379.537,Culvert,Box culvert,21.4298049,92.0392774,N1
LRP385,379.791,Km Post,"Cox,s Bazar 10 km",21.4296938,92.0368608,N1
LRP385a,380.015,Culvert,Box culvert,21.4289716,92.0348608,N1
LRP385b,380.377,Bridge,Bridge start,21.4294438,92.0316104,N1
LRP385c,380.518,Bridge,Bridge end,21.4300827,92.0304716,N1
LRP385d,380.651,Culvert,Box culvert,21.430416,92.0293049,N1
LRP386,380.757,Km Post,"Cox,s Bazar 9 km",21.430166,92.0283604,N1
LRP386a,380.803,Culvert,Box culvert,21.4298882,92.0279716,N1
LRP386b,381.416,Culvert,Box culvert,21.4262493,92.0235827,N1
LRP386c,381.481,"Side Road, Right","N110,Link road-Cox' Bazar, (Labonir more)",21.4258604,92.023166,N1
LRP387,381.494,Km Post,Teknaf 79 km,21.4258049,92.0232493,N1
LRP387a,382.076,Culvert,Box culvert,21.4225549,92.0274438,N1
LRP387b,382.147,Culvert,Box culvert,21.4220827,92.0278604,N1
LRP388,382.473,Km Post,"Teknaf 78 km,Uttia 24 km",21.4199716,92.0302493,N1
LRP388a,382.739,Culvert,Box culvert,21.4191104,92.032416,N1
LRP388b,383.188,Culvert,Box culvert,21.4165,92.0353052,N1
LRP388c,383.37,Culvert,Box culvert,21.4156389,92.0367219,N1
LRP389,383.505,Km Post,"Teknaf 77 km,Uthia 23 km",21.4150556,92.037833,N1
LRP389a,383.74,Culvert,Box culvert,21.4135833,92.0393886,N1
LRP389b,384.107,Culvert,Box culvert,21.4120556,92.039583,N1
LRP389c,384.279,Bridge,Bridge start,21.4115,92.0438052,N1
LRP389d,384.327,Bridge,Bridge end,21.4111667,92.0441108,N1
LRP389e,384.49,Culvert,Box culvert,21.4103056,92.0453052,N1
LRP390,384.547,Km Post,"Teknaf 76 km,Uthia 22 km",21.4101111,92.0458052,N1
LRP390a,384.79,Culvert,Box culvert,21.41025,92.0480552,N1
LRP390b,385.115,Culvert,Box culvert,21.4103333,92.0508333,N1
LRP390c,385.388,Culvert,Box culvert,21.4094167,92.0531944,N1
LRP391,385.568,Km Post,"Teknaf 75 km,Uthia 21 km",21.4090833,92.05475,N1
LRP391a,385.778,Culvert,Box culvert,21.4079722,91.056,N1
